"3/1:The announcement comes after months of bitter argument following the failure of any party to attain the required quota to form a government.
",sent_index,summary_length,R1-F1,R2-F1,R3-F1,RL-F1,RS-F1,rouge_avg
"The men served as co-prime ministers until Hun Sen overthrew Ranariddh in a coup last year.
",120,100,0.1,0.0,0.0,0.1,0.00514,0.06666666666666667
"I don't think there is any benefit for Hun Sen to cause instability for our country,'' Ranariddh said.
",123,100,0.09524,0.0,0.0,0.09524,0.00472,0.06349333333333333
"In his speech, Hun Sen blamed the violence on opposition leaders, saying the demonstrations instigated social and economic chaos.
",149,100,0.09524,0.0,0.0,0.09524,0.00472,0.06349333333333333
"Nhek Bunchhay's outnumbered forces in the capital put up tough but unsuccessful resistance to last year's coup.
",125,100,0.09524,0.0,0.0,0.09524,0.00472,0.06349333333333333
"Fearing for their safety, Sam Rainsy and his then-ally Prince Norodom Ranariddh led an exodus of opposition lawmakers out of Cambodia after parliament was ceremonially opened in late September.
",156,100,0.11321,0.0,0.0,0.07548,0.00291,0.06289666666666667
"Former battlefield enemies, the CPP and FUNCINPEC have been at loggerheads since the CPP narrowly won parliamentary elections in July.
",44,100,0.09303,0.0,0.0,0.09303,0.00451,0.06202
"Furthermore, such a proposal is unconstitutional,'' the faxed statement said.
",56,100,0.12122,0.0,0.0,0.06061,0.0,0.06061
"Senior FUNCINPEC official Ahmad Yahya revealed Monday that it was also agreed that the CPP would control the foreign affairs and finance portfolios.
",93,100,0.08696,0.0,0.0,0.08696,0.00395,0.05797333333333333
"``But instead they make roundabout statements, full of loopholes that can easily be exploited by a legal system that is completely in their control.''
",115,100,0.08511,0.0,0.0,0.08511,0.00378,0.056740000000000006
"Sam Rainsy and a number of opposition figures have been under court investigation for a grenade attack on Hun Sen's Phnom Penh residence on Sep. 7.
",174,100,0.08,0.0,0.0,0.08,0.00331,0.05333333333333334
"He said it contained indirect language and loopholes that suggest he and his Sam Rainsy Party members are still under threat of arrest from Hun Sen's ruling party.
",113,100,0.07693,0.0,0.0,0.07693,0.00303,0.05128666666666667
"Sam Rainsy, under investigation by a Phnom Penh court for his role in the demonstrations, has remained abroad.
",49,100,0.09756,0.0,0.0,0.04878,0.0,0.04878
"The monitoring ended Sept. 30.
",19,100,0.07143,0.0,0.0,0.07143,0.0,0.047619999999999996
"``I consider this a remarriage,'' Ahmad Yahya said.
",98,100,0.06452,0.0,0.0,0.06452,0.0,0.04301333333333333
"International monitors said the election was relatively free and fair.
",135,100,0.06061,0.0,0.0,0.06061,0.0,0.04040666666666667
"Sam Rainsy said Wednesday that he was unsatisfied with the guarantee.
",112,100,0.05883,0.0,0.0,0.05883,0.0,0.03922
"``This will not be a repetition of 1993 because there will not be two prime ministers,'' said Hun Sen aide Prak Sokhon, who attended last week's summit.
",90,100,0.07843,0.0,0.0,0.03921,0.0,0.03921333333333333
"Authorities have called it an assassination attempt on Hun Sen. A police general investigating the attack said Monday that likely suspects have been identified, but he would not reveal names or their political affiliation.
",105,100,0.07017,0.0,0.0,0.03509,0.0,0.03508666666666666
"The opposition organized protests in Phnom Penh seeking Hun Sen's ouster that were violently dispersed.
",48,100,0.05128,0.0,0.0,0.05128,0.0,0.034186666666666664
"The agreement did not say how many seats there would be, nor how they would be divided.
",32,100,0.05,0.0,0.0,0.05,0.0,0.03333333333333333
"Both Ranariddh and Sam Rainsy have been outside the country since parliament was ceremonially opened on Sep. 24.
",173,100,0.04878,0.0,0.0,0.04878,0.0,0.03252
"Ranariddh and Sam Rainsy have charged that Hun Sen's victory in the elections was achieved through widespread fraud.
",170,100,0.04762,0.0,0.0,0.04762,0.0,0.031746666666666666
"Opposition leaders Prince Norodom Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition figures after two alleged attempts on his life, said they could not negotiate freely in Cambodia and called for talks at Sihanouk's residence in Beijing.
",164,100,0.06154,0.0,0.0,0.03077,0.0,0.030770000000000002
"``No-one should internationalize Cambodian affairs.
",167,100,0.0,0.0,0.0,0.0,0.0,0.0
"Hun Sen, however, rejected that.
",165,100,0.0,0.0,0.0,0.0,0.0,0.0
"Ranariddh told reporters Wednesday that he believed it was safe for Sam Rainsy in Cambodia.
",116,100,0.0,0.0,0.0,0.0,0.0,0.0
"FUNCINPEC will take justice and information.
",94,100,0.0,0.0,0.0,0.0,0.0,0.0
"He was diagnosed with colon cancer in 1993, but it has since gone into remission.
",145,100,0.0,0.0,0.0,0.0,0.0,0.0
"``I think Hun Sen has got everything.
",121,100,0.0,0.0,0.0,0.0,0.0,0.0
"``When we had two prime ministers, everything moved very slowly and decisions were made more politically than technically.''
",91,100,0.0,0.0,0.0,0.0,0.0,0.0
